iter	Passed	Remaining
0	165	4793
1	331	4635
2	499	4495
3	668	4344
4	843	4217
5	1016	4064
6	1194	3925
7	1360	3742
8	1524	3556
9	1698	3396
10	1862	3216
11	2028	3042
12	2181	2852
13	2333	2666
14	2489	2489
15	2643	2313
16	2791	2134
17	2939	1959
18	3091	1789
19	3254	1627
20	3417	1464
21	3577	1301
22	3730	1135
23	3877	969
24	4034	806
25	4201	646
26	4358	484
27	4508	322
28	4660	160
29	4826	0
