iter	RMSE
0	8.490780854
1	8.124876067
2	7.779527372
3	7.452283785
4	7.144467477
5	6.852132464
6	6.576396842
7	6.31651887
8	6.072468375
9	5.841736095
10	5.625432556
11	5.419066382
12	5.227000935
13	5.045747919
14	4.876010942
15	4.715707659
16	4.565607894
17	4.425940246
18	4.295033443
19	4.170437094
20	4.054631256
21	3.946539794
22	3.846901983
23	3.753331864
24	3.664045844
25	3.581505202
26	3.505237088
27	3.434450165
28	3.368151255
29	3.30704233
